CUI,HGNC ID
C1332823,HGNC:2561
C1332824,HGNC:16647
C1332826,HGNC:2596
C1332828,HGNC:2621
C1332829,HGNC:2623
C1332830,HGNC:2625
C1333202,HGNC:2662
C1333203,HGNC:2681
C1333205,HGNC:2704
C1333206,HGNC:2730
C1333207,HGNC:2731
C1333208,HGNC:2739
C1333209,HGNC:2734
C1333210,HGNC:14879
C1333212,HGNC:23658
C1333213,HGNC:2766
C1333214,HGNC:2768
C1333216,HGNC:2861
C1333217,HGNC:2867
C1333218,HGNC:17098
C1333219,HGNC:2899
C1333221,HGNC:13747
C1333223,HGNC:13748
C1333225,HGNC:2900
C1333226,HGNC:2903
C1333227,HGNC:2926
C1333242,HGNC:2979
C1333243,HGNC:2983
C1333245,HGNC:2987
C1333246,HGNC:2990
C1333247,HGNC:3017
C1333248,HGNC:3019
C1333250,HGNC:3020
C1333253,HGNC:3023
C1333254,HGNC:3025
C1333255,HGNC:3026
C1333256,HGNC:3060
C1333257,HGNC:3064
C1333258,HGNC:3069
C1333327,HGNC:3148
C1333329,HGNC:3177
C1333331,HGNC:3235
C1333333,HGNC:3246
C1333336,HGNC:3373
C1333337,HGNC:3386
C1333338,HGNC:3388
C1333339,HGNC:3391
C1333340,HGNC:3393
C1333341,HGNC:3394
C1333342,HGNC:3416
C1333343,HGNC:3419
C1333347,HGNC:21295
C1333348,HGNC:21296
C1333349,HGNC:21297
C1333350,HGNC:3420
C1333351,HGNC:16465
C1333352,HGNC:15842
C1333355,HGNC:3433
C1333356,HGNC:3434
C1333357,HGNC:3435
C1333358,HGNC:3436
C1333359,HGNC:3437
C1333360,HGNC:3444
C1333361,HGNC:3490
C1333362,HGNC:3493
C1333363,HGNC:3500
C1333365,HGNC:3511
C1333366,HGNC:3515
C1333367,HGNC:3516
C1333368,HGNC:3527
C1333522,HGNC:3541
C1333523,HGNC:3544
C1333524,HGNC:3555
C1333525,HGNC:3556
C1333526,HGNC:3557
C1333527,HGNC:3559
C1333528,HGNC:3560
C1333530,HGNC:3573
C1333532,HGNC:3588
C1333533,HGNC:16712
C1333535,HGNC:3666
C1333536,HGNC:3665
C1333537,HGNC:3677
C1333538,HGNC:3678
C1333539,HGNC:3686
C1333540,HGNC:3687
C1333541,HGNC:17012
C1333542,HGNC:3689
C1333543,HGNC:3690
C1333544,HGNC:3691
C1333547,HGNC:3703
C1333548,HGNC:3705
C1333565,HGNC:25967
C1333566,HGNC:3762
C1333567,HGNC:3766
C1333568,HGNC:3765
C1333569,HGNC:3767
C1333570,HGNC:3788
C1333571,HGNC:3797
C1333572,HGNC:3819
C1333573,HGNC:3821
C1333574,HGNC:3826
C1333576,HGNC:3944
C1333577,HGNC:3955
C1333578,HGNC:16971
C1333579,HGNC:16970
C1333581,HGNC:3973
C1333583,HGNC:4021
