HPO,CUI
HP:0005978,C0011860
HP:0001953,C0011880
HP:0009110,C0011981
HP:0002014,C0011991
HP:0000699,C0011998
HP:0011024,C0012242
HP:0000651,C0012569
HP:0001373,C0012691
HP:0002622,C0012736
HP:0005521,C0012739
HP:0006292,C0012767
HP:0002253,C0012811
HP:0002253,C0012819
HP:0002321,C0012833
HP:0001719,C0013069
HP:0002307,C0013132
HP:0003781,C0013132
HP:0002329,C0013144
HP:0410323,C0013182
HP:0001097,C0013238
HP:0009921,C0013261
HP:0001643,C0013274
HP:0002588,C0013295
HP:0005679,C0013312
HP:0003510,C0013336
HP:0000839,C0013338
HP:0001260,C0013362
HP:0012332,C0013363
HP:0002459,C0013363
HP:0002271,C0013363
HP:0002961,C0013374
HP:0100621,C0013377
HP:0031249,C0013378
HP:0100660,C0013384
HP:0100607,C0013390
HP:0410281,C0013395
HP:0002094,C0013404
HP:0002098,C0013404
HP:0012763,C0013405
HP:0001332,C0013421
HP:0001304,C0013423
HP:0100518,C0013428
HP:0012780,C0013449
HP:0030766,C0013456
HP:0010316,C0013481
HP:0031364,C0013491
HP:0010529,C0013528
HP:0100601,C0013537
HP:0000968,C0013575
HP:0001683,C0013580
HP:0001083,C0013581
HP:0000656,C0013592
HP:0000964,C0013595
HP:0000976,C0013595
HP:0000969,C0013604
HP:0004445,C0013902
HP:0011919,C0014013
HP:0030249,C0014034
HP:0002383,C0014038
HP:0011815,C0014065
HP:0002085,C0014067
HP:0040197,C0014068
HP:0005701,C0014084
HP:0006695,C0014116
HP:0001706,C0014117
HP:0100584,C0014118
HP:0006689,C0014121
HP:0000818,C0014130
HP:0100568,C0014132
HP:0040298,C0014173
HP:0030127,C0014175
HP:0025636,C0014179
HP:0000490,C0014306
HP:0004387,C0014356
HP:0000621,C0014390
HP:0000805,C0014394
HP:0001880,C0014457
HP:0032253,C0014461
HP:0002888,C0014474
HP:0200040,C0014511
HP:0000031,C0014534
HP:0001250,C0014544
HP:0011147,C0014553
HP:0100534,C0014583
HP:0000421,C0014591
HP:0001055,C0014714
HP:0001055,C0014733
HP:0031180,C0014740
HP:0012219,C0014743
HP:0012132,C0014800
HP:0032147,C0014804
HP:0002740,C0014836
HP:0002571,C0014848
HP:0002032,C0014850
HP:0100628,C0014854
HP:0100751,C0014859
HP:0025271,C0014863
HP:0010450,C0014866
HP:0002040,C0014867
HP:0100633,C0014868
HP:0000565,C0014877
HP:0000988,C0015230
HP:0000520,C0015300
HP:0002762,C0015306
HP:0000577,C0015310
HP:0100548,C0015338
HP:0002071,C0015371
HP:0000478,C0015397
HP:0000508,C0015399
HP:0011885,C0015402
HP:0100012,C0015414
HP:0011331,C0015458
HP:0012289,C0015461
HP:0007209,C0015469
HP:0008169,C0015503
HP:0008321,C0015519
HP:0001929,C0015523
HP:0004841,C0015526
HP:0002380,C0015644
HP:0100537,C0015645
HP:0012378,C0015672
HP:0002607,C0015732
HP:0031846,C0015802
HP:0003826,C0015927
HP:0025116,C0015930
HP:0001511,C0015934
HP:0001788,C0015944
HP:0001945,C0015967
HP:0032323,C0015974
HP:0010614,C0016045
HP:0000169,C0016049
HP:0005313,C0016052
HP:0100244,C0016057
HP:0010734,C0016063
HP:0010736,C0016064
HP:0010735,C0016065
HP:0012390,C0016167
HP:0030207,C0016196
HP:0030157,C0016199
HP:0001763,C0016202
HP:0100832,C0016242
HP:0031284,C0016382
HP:0011153,C0016399
HP:0100507,C0016412
HP:0025084,C0016436
HP:0001760,C0016506
HP:0025238,C0016512
HP:0001655,C0016522
HP:0002757,C0016655
HP:0020110,C0016658
HP:0002756,C0016663
HP:0001480,C0016689
HP:0005323,C0016719
HP:0005973,C0016751
HP:0011090,C0016873
HP:0012024,C0016952
HP:0004919,C0016952
HP:0100575,C0016978
HP:0003005,C0017075
HP:0100758,C0017086
HP:0030169,C0017145
HP:0005263,C0017152
HP:0002582,C0017154
HP:0005246,C0017155
HP:0002020,C0017168
HP:0011024,C0017178
HP:0002239,C0017181
HP:0007378,C0017185
HP:0000704,C0017563
HP:0000225,C0017565
HP:0000212,C0017566
HP:0000212,C0017567
HP:0030816,C0017572
HP:0000230,C0017574
HP:0000501,C0017601
HP:0012109,C0017605
HP:0032119,C0017605
HP:0012109,C0017606
HP:0012108,C0017612
HP:0100843,C0017636
HP:0009733,C0017638
HP:0002171,C0017639
HP:0000099,C0017658
HP:0000794,C0017661
HP:0000793,C0017662
HP:0012578,C0017665
HP:0000097,C0017668
HP:0003001,C0017671
HP:0030811,C0017672
HP:0000206,C0017675
HP:0025252,C0017677
HP:0030404,C0017689
HP:0003076,C0017979
HP:0000853,C0018021
HP:0005994,C0018023
HP:0000133,C0018051
HP:0008668,C0018054
HP:0000133,C0018055
HP:0001997,C0018099
HP:0007802,C0018179
HP:0032252,C0018188
HP:0100647,C0018213
HP:0000771,C0018418
HP:0100812,C0018520
HP:0000738,C0018524
HP:0001822,C0018536
HP:0010566,C0018552
HP:0001155,C0018564
HP:0003193,C0018621
HP:0012395,C0018621
HP:0012288,C0018671
HP:0012168,C0018672
HP:0002315,C0018681
HP:0032319,C0018759
HP:0000365,C0018772
HP:0000405,C0018777
HP:0005101,C0018780
HP:0000407,C0018784
HP:0001695,C0018790
HP:0012722,C0018794
HP:0001627,C0018798
HP:0030680,C0018798
HP:0002564,C0018798
HP:0001640,C0018800
HP:0001635,C0018801
HP:0001635,C0018802
HP:0030148,C0018808
HP:0100544,C0018809
HP:0001671,C0018816
HP:0004760,C0018816
HP:0001631,C0018817
HP:0001629,C0018818
HP:0001654,C0018824
HP:0002020,C0018834
HP:0012313,C0018862
HP:0020082,C0018871
HP:0001028,C0018916
HP:0001048,C0018920
HP:0200058,C0018923
HP:0005261,C0018924
HP:0002248,C0018926
HP:0002573,C0018932
HP:0031923,C0018934
HP:0001871,C0018939
HP:0100309,C0018946
HP:0000790,C0018965
HP:0012047,C0018975
HP:0012377,C0018979
HP:0001269,C0018989
HP:0002301,C0018991
HP:0100762,C0018994
HP:0011903,C0019026
HP:0003641,C0019048
HP:0005575,C0019061
HP:0011851,C0019064
HP:0011854,C0019065
HP:0002105,C0019079
HP:0001928,C0019087
HP:0012151,C0019123
HP:0002480,C0019151
HP:0030243,C0019154
HP:0012115,C0019158
HP:0200123,C0019189
HP:0002240,C0019209
HP:0001433,C0019214
HP:0100790,C0019270
HP:0100541,C0019288
HP:0000023,C0019294
HP:0001537,C0019322
HP:0002933,C0019326
HP:0100247,C0019521
HP:0002827,C0019554
HP:0001374,C0019555
HP:0003365,C0019559
HP:0002251,C0019569
HP:0001007,C0019572
HP:0100727,C0019618
HP:0012077,C0019681
HP:0001609,C0019825
HP:0012189,C0019829
HP:0002156,C0019880
HP:0010606,C0019917
HP:0010607,C0019919
HP:0002277,C0019937
HP:0031473,C0020039
HP:0012413,C0020186
HP:0032192,C0020217
HP:0001561,C0020224
HP:0002324,C0020225
HP:0032381,C0020241
HP:0000238,C0020255
HP:0002343,C0020258
HP:0000126,C0020295
HP:0001789,C0020305
HP:0011920,C0020312
HP:0000859,C0020428
HP:0031005,C0020429
HP:0003072,C0020437
HP:0002150,C0020438
HP:0012416,C0020440
HP:0003124,C0020443
HP:0012188,C0020450
HP:0100963,C0020453
HP:0010702,C0020455
HP:0003074,C0020456
HP:0000975,C0020458
HP:0000842,C0020459
HP:0002153,C0020461
HP:0003077,C0020473
HP:0008158,C0020474
HP:0010980,C0020476
HP:0003228,C0020488
HP:0000540,C0020490
HP:0100774,C0020492
HP:0004438,C0020494
HP:0004330,C0020496
HP:0003159,C0020500
HP:0000843,C0020502
HP:0000867,C0020503
HP:0002591,C0020505
HP:0010514,C0020506
HP:0000870,C0020514
HP:0012393,C0020517
HP:0001971,C0020532
HP:0000316,C0020534
HP:0000822,C0020538
HP:0001409,C0020541
HP:0100817,C0020545
HP:0100735,C0020546
HP:0000836,C0020550
HP:0000998,C0020555
HP:0010313,C0020565
HP:0025586,C0020575
HP:0002883,C0020578
HP:0003474,C0020580
HP:0011886,C0020581
HP:0002901,C0020598
HP:0003127,C0020599
HP:0000668,C0020608
HP:0001943,C0020615
HP:0001325,C0020617
HP:0000135,C0020619
HP:0000966,C0020620
HP:0002900,C0020621
HP:0010981,C0020623
HP:0002902,C0020625
HP:0000829,C0020626
HP:0040075,C0020635
